time_s,video_payload_mbps,rf_capacity_mbps,buffer_mb,latency_ms,drop_flag
0,34.5929552095533,31.1516596278295,4.01895647790862,1043.82855377766,0
0.04,36.6887021426509,31.5358465658588,4.04647075579258,1038.02749038662,0
0.08,36.8520179607052,37.9546622657223,4.04270753426749,860.043896834045,0
0.12,35.0567542558686,40.5077734330409,4.01720243838163,800.283899221637,0
0.16,38.5606521556389,40.1639438814198,4.01093597975273,805.935928718588,0
0.2,37.2268396472882,39.1648257839205,4.00299604906957,825.044754054335,0
0.24,38.6927525287829,34.8329570596113,4.02404502641542,933.573073668593,0
0.28,42.131637094261,25,4.11145321188673,1334.34586998352,0
0.32,40.3043275983318,34.0389210935827,4.14453024441047,984.188299268499,0
0.36,39.2176702346729,33.8771298172823,4.17298294649743,995.726856247951,0
0.4,39.2214956168943,32.4909559570486,4.20838564479666,1047.48238364049,0
0.44,40.2207915538275,39.2758579474303,4.21486031282864,866.233508537353,0
0.48,38.2359844188155,37.1145497776008,4.22221748603472,918.758426054689,0
0.52,40.6180878739379,33.8488672763827,4.25781358902249,1016.82568640745,0
0.56,43.0637211458068,25.2780864097643,4.3484917627027,1395.53167177707,0
0.6,44.3941184856084,36.9917637323575,4.38725353646896,957.869510543166,0
0.64,42.5508963731541,42.1471432741413,4.39102230196402,840.44448170325,0
0.68,40.6821391917694,41.9003882904224,4.38668105647076,844.599771402264,0
0.72,39.4975056822675,36.0590469524025,4.40562335012008,987.00440949711,0
0.76,40.9189215910211,43.6933481822393,4.39350121716399,810.920503638306,0
0.8,41.0784708735418,52.2923289218596,4.3391819269224,668.307643032354,0
0.84,42.9228571789326,35.1616382826151,4.37973802140399,1006.49971962767,0
0.88,37.8718288209986,45.210150318573,4.34479641391612,774.81620245348,0
0.92,41.2446982833107,41.4641179950218,4.34544931535756,845.53910476858,0
0.96,41.7696423626313,44.6558356756681,4.33276834879238,782.338178746391,0
1,37.4084339874967,38.3102276295711,4.33000938058201,912.536020138914,0
1.04,38.2201997490896,34.5784551804536,4.34996810342519,1016.69048877421,0
1.08,39.3304046077648,37.7536910058617,4.3596016714347,932.443094078922,0
1.12,42.8799956502842,43.4151143521791,4.35867607792523,809.690375793405,0
1.16,34.6041861811769,32.5589565355196,4.37065222615352,1085.57437340974,0
1.2,37.8571896266193,45.074260884367,4.33631686986478,775.653622283649,0
1.24,40.2032828206727,42.0125044525909,4.32902076170519,831.255022919962,0
1.28,35.6570600877096,41.3304900603194,4.30240361184214,839.89305262273,0
1.32,39.5177720541893,42.716848912212,4.28815822755202,809.719549629473,0
1.36,34.3728589170795,45.355084153932,4.23499710136776,752.803320955063,0
1.4,34.5120263815743,45.1988424214932,4.18331302116817,746.206643525474,0
1.44,35.7456293387535,39.9798810247592,4.16389176273814,840.555995641108,0
1.48,36.5233841350486,52.9025713518033,4.08374582665437,621.662570886056,0
1.52,33.4185792900159,48.457123373047,4.01030310623921,666.895515683412,0
1.56,35.774306066717,42.4110826180845,3.97886922348237,756.779231692268,0
1.6,32.986665065029,41.5307647952171,3.93789872483143,764.997686548803,0
1.64,34.1070658300421,43.7178625122975,3.89159474142016,717.876236637975,0
1.68,34.0133940283305,55.7339140806144,3.78474214115874,546.691898394878,0
1.72,37.4602015334414,44.5518299284959,3.75103399918346,678.892073970949,0
1.76,31.6110601041866,36.9371439490256,3.72615357995927,814.745985125412,0
1.8,29.927352776786,45.2371876976373,3.65135440535501,650.761091107021,0
1.84,35.0841536311137,41.7016916458883,3.62001671528114,700.337339769477,0
1.88,33.1234086834549,47.0586060976775,3.55209072821003,608.383083970755,0
1.92,32.8751778481406,38.3068725849047,3.52668225452621,743.303020371337,0
1.96,31.3733720499877,37.0878379528393,3.49985992501195,762.126487574962,0
