time_s,target_speed_rpm,speed_rpm,current_a,voltage_v,pwm_duty,load_torque_nm,speed_error_rpm
0,600,0.511569459938235,3.42857142857143,24,1,0,600
0.0005,600,1.12565618881532,4.11993447398113,7.5920413178679,0.316335054911162,0,599.488430540062
0.001,600,1.83161265115769,4.74079589837993,7.66319566925601,0.319299819552334,0,598.874343811185
0.0015,600,2.6199903292406,5.29910239526577,7.73530728199942,0.322304470083309,0,598.168387348842
0.002,600,3.48240339480568,5.80189702208559,7.80822995817628,0.325342914924012,0,597.380009670759
0.0025,600,4.41140788721109,6.2554219832431,7.88183410330278,0.328409754304283,0,596.517596605194
0.003,600,5.40039463426158,6.66520972222839,7.9560048391542,0.331500201631425,0,595.588592112789
0.0035,600,6.44349435258045,7.03616365262719,8.03064033123121,0.3346100138013,0,594.599605365738
0.004,600,7.53549354218185,7.37262970651661,8.10565030645676,0.337735429435698,0,593.556505647419
0.0045,600,8.671759947475,7.67845974470712,8.18095473946665,0.340873114144444,0,592.464506457818
0.005,600,9.84817649658217,7.9570677544904,8.25648268831676,0.344020112013198,0,591.328240052525
0.0055,600,11.0610827546183,8.21147965526507,8.33217126261249,0.347173802608854,0,590.151823503418
0.006,600,12.3072230362687,8.44437743910074,8.40796470899767,0.350331862874903,0,588.938917245382
0.0065,600,13.5837004202133,8.65813829060261,8.4838136006547,0.353492233360612,0,587.692776963731
0.007,600,14.8879359941012,8.85486925714698,8.5596741189849,0.356653088291037,0,586.416299579787
0.0075,600,16.217632735134,9.03643797560267,8.63550741698453,0.359812809041022,0,585.112064005899
0.008,600,17.5707434989878,9.2044999040864,8.71127905502412,0.362969960626005,0,583.782367264866
0.0085,600,18.9454426497763,9.36052245628055,8.78695850079538,0.366123270866474,0,582.429256501012
0.009,600,20.3401009169104,9.50580639062601,8.86251868612788,0.369271611921995,0,581.054557350224
0.0095,600,21.753263111814,9.64150476662916,8.93793561420593,0.372413983925247,0,579.65989908309
0.01,600,23.1836283792073,9.76863974500754,9.01318801145409,0.375549500477254,0,578.246736888186
0.0105,600,24.6300326946635,9.88811747692261,9.08825701900951,0.378677375792063,0,576.816371620793
0.011,600,26.0914333529418,10.0007412996532,9.16312591927933,0.381796913303306,0,575.369967305336
0.0115,600,27.5668952206557,10.1072234313403,9.23777989359187,0.384907495566328,0,573.908566647058
0.012,600,29.0555785525952,10.2081953355243,9.31220580740508,0.388008575308545,0,572.433104779344
0.0125,600,30.556728193846,10.3042169067755,9.3863920199379,0.391099667497412,0,570.944421447405
0.013,600,32.0696640100795,10.3957846115122,9.46032821544657,0.394180342310274,0,569.443271806154
0.0135,600,33.5937724063148,10.4833387028453,9.53400525368394,0.397250218903497,0,567.930335989921
0.014,600,35.1284988103468,10.5672696147731,9.60741503735966,0.400308959889986,0,566.406227593685
0.0145,600,36.6733410111135,10.6479236290709,9.68055039466813,0.403356266444506,0,564.871501189653
0.015,600,38.2278432547574,10.7256078975986,9.75340497516952,0.406391873965397,0,563.326658988886
0.0155,600,39.7915910121976,10.8005948933467,9.82597315750581,0.409415548229409,0,561.772156745243
0.016,600,41.3642063418311,10.8731263551948,9.89824996760529,0.412427081983554,0,560.208408987802
0.0165,600,42.94534377967,10.9434167839714,9.97023100618286,0.415426291924286,0,558.635793658169
0.017,600,44.5346866969203,11.0116565408509,10.0419123844783,0.418413016019928,0,557.05465622033
0.0175,600,46.1319440718343,11.0780145933186,10.1132906672961,0.421387111137336,0,555.46531330308
0.018,600,47.7368476287117,11.1426409487914,10.1843628225161,0.424348450938173,0,553.868055928166
0.0185,600,49.34914930229,11.2056688114215,10.2551261763392,0.427296924014133,0,552.263152371288
0.019,600,50.9686189905101,11.2672164935678,10.3255783736147,0.430232432233947,0,550.65085069771
0.0195,600,52.5950425628562,11.3273891098412,10.3957173426736,0.433154889278065,0,549.03138100949
0.02,600,54.2282200951978,11.3862800784548,10.4655412641525,0.436064219339687,0,547.404957437144
0.0205,600,55.8679643053701,11.4439724517953,10.535048543357,0.438960355973208,0,545.771779904802
0.021,600,57.5140991666583,11.5005400956419,10.6042377857596,0.441843241073315,0,544.13203569463
0.0215,600,59.1664586789498,11.5560487342484,10.6731077752774,0.444712823969891,0,542.485900833342
0.022,600,60.8248857796181,11.6105568765434,10.7416574550125,0.447569060625519,0,540.83354132105
0.0225,600,62.4892313782451,11.6641166369743,10.809885910175,0.450411912923959,0,539.175114220382
0.023,600,64.1593535010929,11.7167744629748,10.8777923529413,0.453241348039221,0,537.510768621755
0.0235,600,65.8351165328426,11.7685717796802,10.9453761090259,0.456057337876079,0,535.840646498907
0.024,600,67.5163905445336,11.8195455613006,11.0126366057737,0.458859858573903,0,534.164883467157
0.0245,600,69.2030506978979,11.8697288374961,11.0795733615985,0.461648890066604,0,532.483609455466
0.025,600,70.8949767173992,11.9191511421457,11.1461859766154,0.464424415692309,0,530.796949302102
0.0255,600,72.5920524222742,11.9678389110633,11.2124741243307,0.467186421847114,0,529.105023282601
0.026,600,74.2941653117501,12.015815834467,11.2784375442697,0.469934897677903,0,527.407947577726
0.0265,600,76.001206197388,12.063103169349,11.3440760354349,0.472669834809788,0,525.70583468825
0.027,600,77.7130688771919,12.1097200163061,11.4093894505015,0.475391227104229,0,523.998793802612
0.0275,600,79.4296498467305,12.1556835648754,11.4743776906646,0.478099070444359,0,522.286931122808
0.028,600,81.1508480430614,12.2010093109541,11.5390407010656,0.480793362544399,0,520.570350153269
0.0285,600,82.8765646177243,12.2457112494826,11.6033784667308,0.483474102780452,0,518.849151956938
0.029,600,84.6067027354972,12.2898020452015,11.6673910089651,0.486141292040214,0,517.123435382276
0.0295,600,86.3411673959826,12.3332931839781,11.7310783821475,0.488794932589478,0,515.393297264503
0.03,600,88.0798652754265,12.3761951069124,11.7944406708841,0.491435027953506,0,513.658832604017
0.0305,600,89.822704586468,12.4185173291806,11.8574779874779,0.49406158281158,0,511.920134724573
0.031,600,91.5695949537774,12.460268545353,11.9201904696779,0.496674602903247,0,510.177295413532
0.0315,600,93.3204473037768,12.5014567227247,11.9825782786779,0.499274094944911,0,508.430405046223
0.032,600,95.0751737668375,12.5420891840217,12.0446415973346,0.501860066555608,0,506.679552696223
0.0325,600,96.8336875905365,12.5821726806927,12.1063806285819,0.504432526190913,0,504.924826233162
0.033,600,98.5959030627113,12.6217134578551,12.1677955940176,0.506991483084067,0,503.166312409463
0.0335,600,100.361735443198,12.6607173118471,12.2288867326437,0.509536947193487,0,501.404096937289
0.034,600,102.131100903265,12.6991896412251,12.2896542997427,0.512068929155945,0,499.638264556802
0.0345,600,103.903916471863,12.7371354919522,12.3500985658745,0.514587440244771,0,497.868899096735
0.035,600,105.680099987918,12.7745595974401,12.4102198159802,0.51709249233251,0,496.096083528137
0.0355,600,107.459570057978,12.8114664140276,12.4700183485805,0.51958409785752,0,494.319900012082
0.036,600,109.242246018603,12.8478601524166,12.5294944750578,0.522062269794075,0,492.540429942021
0.0365,600,111.028047902956,12.8837448055249,12.5886485190136,0.524527021625566,0,490.757753981397
0.037,600,112.816896411118,12.9191241731628,12.6474808156909,0.526978367320453,0,488.971952097044
0.0375,600,114.608712883707,12.9540018838956,12.7059917114558,0.529416321310657,0,487.183103588882
0.038,600,116.403419278415,12.9883814144123,12.7641815633306,0.53184089847211,0,485.391287116293
0.0385,600,118.200938149133,13.0222661066833,12.8220507385735,0.534252114107229,0,483.596580721585
0.039,600,120.001192627374,13.0556591831591,12.8795996142979,0.536649983929081,0,481.799061850867
0.0395,600,121.804106405728,13.0885637602336,12.9368285771295,0.539034524047063,0,479.998807372626
0.04,600,123.609603723115,13.1209828601678,12.9937380228939,0.541405750953914,0,478.195893594272
0.0405,600,125.417609351628,13.1529194216509,13.0503283563341,0.543763681513921,0,476.390396276885
0.041,600,127.2280485848,13.1843763091526,13.1065999908518,0.54610833295216,0,474.582390648372
0.0415,600,129.040847227107,13.2153563212045,13.1625533482727,0.548439722844697,0,472.7719514152
0.042,600,130.855931584588,13.2458621977325,13.2181888586301,0.550757869109589,0,470.959152772893
0.0425,600,132.673228456444,13.2758966265486,13.2735069599674,0.553062789998643,0,469.144068415412
0.043,600,134.492665127498,13.3054622490966,13.3285080981555,0.555354504089813,0,467.326771543556
0.0435,600,136.314169361433,13.334561665538,13.3831927267244,0.557633030280182,0,465.507334872502
0.044,600,138.137669394703,13.3631974392523,13.437561306707,0.55989838777946,0,463.685830638567
0.0445,600,139.963093931049,13.3913721008189,13.4916143064944,0.562150596103932,0,461.862330605297
0.045,600,141.790372136545,13.4190881515388,13.5453522016998,0.564389675070825,0,460.036906068951
0.0455,600,143.619433635117,13.4463480665499,13.5987754750324,0.566615644793018,0,458.209627863455
0.046,600,145.450208504479,13.4731542975804,13.6518846161781,0.568828525674088,0,456.380566364884
0.0465,600,147.282627272434,13.499509275383,13.7046801216873,0.571028338403637,0,454.549791495521
0.047,600,149.116620913506,13.5254154118858,13.7571624948688,0.573215103952868,0,452.717372727566
0.0475,600,150.95212084585,13.5508751020916,13.8093322456894,0.575388843570392,0,450.883379086494
0.048,600,152.78905892843,13.5758907257553,13.8611898906777,0.577549578778238,0,449.04787915415
0.0485,600,154.627367458407,13.6004646488636,13.9127359528328,0.579697331368035,0,447.21094107157
0.049,600,156.466979168736,13.6245992249405,13.9639709615367,0.581832123397364,0,445.372632541593
0.0495,600,158.307827225931,13.6482967961979,14.0148954524699,0.583953977186244,0,443.533020831264
0.05,600,160.149845227989,13.6715596945492,14.06550996753,0.586062915313751,0,441.692172774069
0.0505,600,161.992967202445,13.6943902425012,14.1158150547541,0.588158960614754,0,439.850154772011
0.051,600,163.837127604548,13.7167907539387,14.1658112682418,0.59024213617674,0,438.007032797555
0.0515,600,165.682261315545,13.7387635348137,14.215499168082,0.592312465336751,0,436.162872395452
0.052,600,167.528303641054,13.7603108837502,14.2648793202812,0.594369971678381,0,434.317738684455
0.0525,600,169.375190309518,13.7814350925745,14.3139522966929,0.596414679028872,0,432.471696358946
0.053,600,171.222857470735,13.8021384467788,14.36271867495,0.598446611456249,0,430.624809690482
0.0535,600,173.071241694441,13.8224232259265,14.4111790383969,0.600465793266538,0,428.777142529265
0.054,600,174.92027996896,13.8422917040056,14.4593339760247,0.602472249001028,0,426.928758305559
0.0545,600,176.769909699888,13.8617461497364,14.5071840824059,0.60446600343358,0,425.07972003104
0.055,600,178.620068708831,13.8807888268377,14.5547299576317,0.606447081567989,0,423.230090300112
0.0555,600,180.47069523217,13.8994219942581,14.6019722072491,0.608415508635379,0,421.379931291168
0.056,600,182.32172791986,13.9176479063745,14.6489114421993,0.610371310091639,0,419.52930476783
0.0565,600,184.173105834258,13.9354688131632,14.6955482787574,0.612314511614891,0,417.67827208014
0.057,600,186.024768448973,13.9528869603453,14.7418833384718,0.614245139102994,0,415.826894165742
0.0575,600,187.876655647733,13.9699045895109,14.7879172481055,0.616163218671064,0,413.975231551027
0.058,600,189.728707723275,13.986523938223,14.8336506395769,0.618068776649038,0,412.123344352267
0.0585,600,191.580865376242,14.0027472401048,14.879084149902,0.619961839579248,0,410.271292276725
0.059,600,193.433069714099,14.0185767249114,14.9242184211367,0.621842434214028,0,408.419134623758
0.0595,600,195.285262250055,14.0340146185886,14.9690541003199,0.623710587513331,0,406.566930285901
0.06,600,197.137384901995,14.0490631433188,15.0135918394171,0.625566326642378,0,404.714737749945
0.0605,600,198.989379991416,14.0637245175577,15.0578322952636,0.627409678969317,0,402.862615098005
0.061,600,200.841190242374,14.078000956061,15.1017761295097,0.629240672062904,0,401.010620008584
0.0615,600,202.692758780426,14.091894669903,15.1454240085648,0.631059333690199,0,399.158809757626
0.062,600,204.544029131587,14.1054078664884,15.1887766035426,0.632865691814277,0,397.307241219574
0.0625,600,206.394945221278,14.1185427495574,15.2318345902069,0.634659774591955,0,395.455970868413
0.063,600,208.245451373283,14.1313015191859,15.2745986489169,0.636441610371538,0,393.605054778722
0.0635,600,210.095492308701,14.14368637178,15.3170694645737,0.638211227690569,0,391.754548626717
0.064,600,211.945013144902,14.1556995000666,15.3592477265664,0.639968655273599,0,389.904507691299
0.0645,600,213.793959394479,14.1673430930809,15.4011341287193,0.641713922029972,0,388.054986855098
0.065,600,215.642276964205,14.1786193361495,15.4427293692388,0.643447057051615,0,386.206040605521
0.0655,600,217.489912153978,14.1895304108718,15.4840341506603,0.645168089610846,0,384.357723035795
0.066,600,219.336811655774,14.2000784950979,15.5250491797967,0.646877049158196,0,382.510087846022
0.0665,600,221.182922552594,14.210265762905,15.5657751676855,0.64857396532023,0,380.663188344226
0.067,600,223.028192317407,14.220094384572,15.6062128295375,0.650258867897396,0,378.817077447406
0.0675,600,224.872568812094,14.2295665265521,15.6463628846849,0.651931786861872,0,376.971807682593
0.068,600,226.716000286383,14.2386843514442,15.6862260565304,0.653592752355435,0,375.127431187906
0.0685,600,228.558435376788,14.2474500179635,15.7258030724958,0.655241794687325,0,373.283999713617
0.069,600,230.399823105539,14.2558656809101,15.7650946639713,0.656878944332139,0,371.441564623212
0.0695,600,232.240112879516,14.2639334911382,15.8041015662653,0.658504231927719,0,369.600176894461
0.07,600,234.079254489166,14.2716555955233,15.8428245185535,0.660117688273061,0,367.759887120484
0.0705,600,235.917198107433,14.2790341369298,15.8812642638295,0.661719344326227,0,365.920745510834
0.071,600,237.753894288672,14.2860712541772,15.9194215488545,0.66330923120227,0,364.082801892567
0.0715,600,239.589293967567,14.292769082007,15.9572971241082,0.664887380171174,0,362.246105711328
0.072,600,241.423348458037,14.2991297510484,15.994891743739,0.666453822655792,0,360.410706032433
0.0725,600,243.256009452149,14.3051553877843,16.0322061655153,0.668008590229805,0,358.576651541963
0.073,600,245.087229019017,14.3108481145173,16.0692411507766,0.669551714615691,0,356.743990547851
0.0735,600,246.916959603706,14.3162100493346,16.1059974643845,0.671083227682687,0,354.912770980983
0.074,600,248.745154026124,14.3212433060748,16.1424758746749,0.672603161444787,0,353.083040396294
0.0745,600,250.571765479915,14.3259499942922,16.1786771534094,0.674111548058725,0,351.254845973876
0.075,600,252.396747531351,14.3303322192239,16.2146020757277,0.675608419821989,0,349.428234520085
0.0755,600,254.220054118214,14.3343920817545,16.2502514200998,0.677093809170824,0,347.603252468649
0.076,600,256.041639548676,14.3381316783826,16.2856259682782,0.67856774867826,0,345.779945881786
0.0765,600,257.86145850018,14.3415531011869,16.3207265052515,0.680030271052144,0,343.958360451324
0.077,600,259.67946601831,14.3446584377923,16.3555538191963,0.681481409133178,0,342.13854149982
0.0775,600,261.495617515666,14.3474497713366,16.3901087014314,0.682921195892976,0,340.32053398169
0.078,600,263.309868770726,14.349929180437,16.424391946371,0.684349664432124,0,338.504382484334
0.0785,600,265.122175926713,14.3520987391572,16.4584043514777,0.685766847978238,0,336.690131229274
0.079,600,266.932495490451,14.3539605169745,16.4921467172176,0.687172779884065,0,334.877824073287
0.0795,600,268.740784331224,14.3555165787474,16.5256198470133,0.688567493625552,0,333.067504509549
0.08,600,270.546999679629,14.3567689846834,16.5588245471989,0.689951022799956,0,331.259215668776
0.0805,600,272.351099126425,14.3577197903065,16.5917616269747,0.691323401123945,0,329.453000320371
0.081,600,274.15304062138,14.3583710464265,16.6244318983613,0.692684662431722,0,327.648900873574
0.0815,600,275.95278247211,14.3587247991068,16.6568361761555,0.694034840673145,0,325.84695937862
0.082,600,277.750283342926,14.3587830896335,16.6889752778848,0.695373969911866,0,324.04721752789
0.0825,600,279.545502253664,14.3585479544851,16.7208500237634,0.696702084323473,0,322.249716657075
0.083,600,281.338398578524,14.3580214253014,16.7524612366476,0.698019218193652,0,320.454497746336
0.0835,600,283.128932044898,14.3572055288541,16.7838097419921,0.699325405916339,0,318.661601421475
0.084,600,284.917062732197,14.3561022870165,16.8148963678057,0.700620681991904,0,316.871067955102
0.0845,600,286.702751070676,14.3547137167341,16.8457219446079,0.701905081025327,0,315.082937267803
0.085,600,288.485957840258,14.3530418299959,16.8762873053854,0.703178637724393,0,313.297248929324
0.0855,600,290.266644169351,14.351088633805,16.9065932855493,0.704441386897888,0,311.514042159742
0.086,600,292.044771533666,14.3488561301507,16.9366407228915,0.705693363453813,0,309.733355830649
0.0865,600,293.820301755027,14.34634631598,16.9664304575425,0.706934602397605,0,307.955228466334
0.087,600,295.593197000185,14.34356118317,16.9959633319286,0.70816513883036,0,306.179698244973
0.0875,600,297.363419779628,14.3405027185004,17.0252401907299,0.709385007947079,0,304.406802999815
0.088,600,299.13093294638,14.3371729036263,17.0542618808377,0.710594245034903,0,302.636580220372
0.0885,600,300.895699694812,14.3335737150516,17.0830292513131,0.71179288547138,0,300.86906705362
0.089,600,302.657683559437,14.3297071241025,17.1115431533455,0.712980964722729,0,299.104300305188
0.0895,600,304.416848413712,14.3255750969013,17.1398044402106,0.714158518342108,0,297.342316440563
0.09,600,306.173158468832,14.3211795943407,17.1678139672297,0.715325581967904,0,295.583151586288
0.0905,600,307.926578272524,14.3165225720584,17.1955725917286,0.716482191322026,0,293.826841531168
0.091,600,309.677072707839,14.3116059804118,17.2230811729968,0.717628382208201,0,292.073421727476
0.0915,600,311.424606991941,14.3064317644536,17.250340572247,0.718764190510293,0,290.322927292161
0.092,600,313.169146674896,14.3010018639071,17.2773516525749,0.719889652190621,0,288.575393008059
0.0925,600,314.910657638452,14.295318213142,17.3041152789188,0.721004803288283,0,286.830853325104
0.093,600,316.649106094828,14.2893827411508,17.3306323180201,0.722109679917505,0,285.089342361548
0.0935,600,318.384458585493,14.2831973715255,17.3569036383834,0.723204318265977,0,283.350893905172
0.094,600,320.116681979943,14.2767640224342,17.3829301102373,0.724288754593221,0,281.615541414507
0.0945,600,321.84574347448,14.2700846065984,17.4087126054948,0.725363025228949,0,279.883318020057
0.095,600,323.571610590989,14.2631610312704,17.4342519977146,0.726427166571442,0,278.15425652552
0.0955,600,325.29425117571,14.2559951982117,17.4595491620624,0.727481215085934,0,276.428389409011
0.096,600,327.013633398008,14.2485890036704,17.484604975272,0.728525207303002,0,274.70574882429
0.0965,600,328.729725749148,14.2409443383604,17.5094203156073,0.729559179816971,0,272.986366601992
0.097,600,330.442497041059,14.2330630874396,17.5339960628238,0.730583169284326,0,271.270274250852
0.0975,600,332.151916405107,14.2249471304898,17.5583330981311,0.731597212422128,0,269.557502958941
0.098,600,333.857953290851,14.2165983414953,17.5824323041548,0.732601346006448,0,267.848083594893
0.0985,600,335.560577464818,14.2080185888234,17.6062945648993,0.733595606870804,0,266.142046709149
0.099,600,337.259759009259,14.1992097352041,17.6299207657105,0.734580031904604,0,264.439422535182
0.0995,600,338.95546832091,14.1901736377106,17.6533117932386,0.735554658051607,0,262.740240990741
0.1,600,340.647676109757,14.1809121477401,17.6764685354013,0.736519522308389,0,261.04453167909
0.1005,600,342.33635339779,14.1714271109947,17.6993918813474,0.737474661722809,0,259.352323890243
0.101,600,344.021471517762,14.1617203674629,17.7220827214201,0.738420113392503,0,257.66364660221
0.1015,600,345.703002111945,14.1517937514009,17.7445419471208,0.739355914463366,0,255.978528482238
0.102,600,347.380917130887,14.1416490913152,17.7667704510734,0.740282102128059,0,254.296997888055
0.1025,600,349.055188832163,14.131288209944,17.7887691269884,0.741198713624515,0,252.619082869113
0.103,600,350.72578977913,14.1207129242407,17.810538869627,0.74210578623446,0,250.944811167837
0.1035,600,352.392692839679,14.1099250453559,17.8320805747666,0.74300335728194,0,249.27421022087
0.104,600,354.055871184985,14.0989263786211,17.8533951391645,0.743891464131853,0,247.607307160321
0.1045,600,355.715298288259,14.0877187235321,17.874483460524,0.744770144188501,0,245.944128815015
0.105,600,357.370947923493,14.0763038737324,17.8953464374593,0.745639434894137,0,244.284701711741
0.1055,600,359.022794164216,14.0646836169978,17.9159849694608,0.746499373727531,0,242.629052076507
0.106,600,360.670811382233,14.0528597352203,17.936399956861,0.747349998202543,0,240.977205835784
0.1065,600,362.314974246379,14.0408340043929,17.9565923008008,0.748191345866698,0,239.329188617767
0.107,600,363.955257721261,14.0286081945947,17.9765629031947,0.749023454299779,0,237.685025753621
0.1075,600,365.591637066006,14.0161840699757,17.9963126666981,0.749846361112422,0,236.044742278739
0.108,600,367.224087833004,14.0035633887429,18.0158424946734,0.750660103944724,0,234.408362933994
0.1085,600,368.852585866654,13.9907479031455,18.0351532911566,0.751464720464858,0,232.775912166997
0.109,600,370.47710730211,13.9777393594613,18.0542459608246,0.752260248367694,0,231.147414133346
0.1095,600,372.097628564019,13.964539497983,18.0731214089624,0.753046725373434,0,229.52289269789
0.11,600,373.71412636527,13.9511500530051,18.09178054143,0.753824189226251,0,227.902371435981
0.1105,600,375.326577705731,13.9375727528101,18.1102242646306,0.75459267769294,0,226.28587363473
0.111,600,376.934959870998,13.9238093196566,18.1284534854778,0.755352228561576,0,224.673422294269
0.1115,600,378.539250431132,13.9098614697663,18.1464691113643,0.756102879640179,0,223.065040129002
0.112,600,380.1394272394,13.8957309133116,18.1642720501294,0.75684466875539,0,221.460749568869
0.1125,600,381.735468431025,13.8814193544042,18.1818632100278,0.757577633751159,0,219.8605727606
0.113,600,383.327352421915,13.8669284910827,18.1992434996982,0.758301812487427,0,218.264531568975
0.1135,600,384.915057907415,13.8522600153018,18.2164138281321,0.759017242838838,0,216.672647578085
0.114,600,386.498563861043,13.8374156129208,18.2333751046427,0.759723962693445,0,215.084942092585
0.1145,600,388.077849533233,13.8223969636928,18.2501282388341,0.760422009951422,0,213.501436138957
0.115,600,389.652894450073,13.8072057412542,18.2666741405712,0.761111422523798,0,211.922150466767
0.1155,600,391.223678412052,13.7918436131141,18.2830137199485,0.761792238331188,0,210.347105549927
0.116,600,392.790181492796,13.7763122406443,18.2991478872609,0.762464495302539,0,208.776321587948
