frequency_mhz,distance_km,fspl_db,control_rx_dbm,video_rx_dbm,control_noise_dbm,video_noise_dbm,control_snr_db,video_snr_db,control_ebn0_db,video_ebn0_db,control_ber_theory,video_ber_theory
40,10,84.4811998265592,-50.4811998265592,-43.4811998265592,-126.02059991328,-102.218487496164,75.5394000867204,58.7372876696043,79.6960878430451,50.9557751657679,0,0
100,10,92.44,-58.44,-51.44,-126.02059991328,-102.218487496164,67.5805999132796,50.7784874961636,71.7372876696043,42.9969749923271,0,0
200,10,98.4605999132796,-64.4605999132796,-57.4605999132796,-126.02059991328,-102.218487496164,61.56,44.7578875828839,65.7166877563247,36.9763750790475,0,0
